WORKER,max_iter,learning_rate,confidence,Mean_Linf_Applied,Time_Elapsed (s)
Candido,10,0.001,0.0,0.0019,2377.22
Candido,10,0.001,0.5,0.0019,2627.23
Candido,10,0.001,1.0,0.002,3181.45
Candido,10,0.01,0.0,0.0064,4411.28
Candido,10,0.01,0.5,0.0064,3903.39
Candido,10,0.01,1.0,0.0064,3704.22
Candido,10,0.05,0.0,0.025,4031.97
Candido,10,0.05,0.5,0.025,4300.79
Candido,10,0.05,1.0,0.025,3704.51
Candido,10,0.1,0.0,0.05,3710.64
Candido,10,0.1,0.5,0.05,3783.1
Candido,10,0.1,1.0,0.05,3791.62
