attack_name,epsilon,nn1_accuracy,nn2_accuracy,nn2_correct,total_images,time_elapsed_s
FGSM,0.001,77.1,86.7,867,1000,9.97
FGSM,0.003,45.8,86.7,867,1000,9.22
FGSM,0.005,22.8,78.8,788,1000,16.8
FGSM,0.01,6.7,66.6,666,1000,16.41
FGSM,0.03,1.6,20.1,201,1000,16.23
FGSM,0.05,0.7,5.9,59,1000,18.97
FGSM,0.1,0.1,0.7,7,1000,17.25
