attack_name,target_mode,num_random_init,max_iter,eps_step,epsilon,successful_attacks,total_images,attack_success_rate,time_elapsed_s
PGD_Targeted_LeastLikely,LeastLikely,1,40,7.5e-05,0.003,0,1000,0.0,127.89
PGD_Targeted_LeastLikely,LeastLikely,1,40,0.000125,0.005,0,1000,0.0,173.68
PGD_Targeted_LeastLikely,LeastLikely,1,40,0.00025,0.01,1,1000,0.1,126.77
PGD_Targeted_LeastLikely,LeastLikely,1,40,0.00075,0.03,593,1000,59.3,167.97
PGD_Targeted_LeastLikely,LeastLikely,1,40,0.00125,0.05,981,1000,98.1,168.47
PGD_Targeted_LeastLikely,LeastLikely,1,40,0.0025,0.1,1000,1000,100.0,122.49
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.001,0.001,0,1000,0.0,65.53
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.003,0.003,0,1000,0.0,27.72
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.005,0.005,0,1000,0.0,25.85
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.01,0.01,0,1000,0.0,24.0
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.03,0.03,0,1000,0.0,21.35
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.05,0.05,0,1000,0.0,20.89
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.1,0.1,3,1000,0.3,20.91
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.0002,0.001,0,1000,0.0,60.11
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.0006,0.003,0,1000,0.0,60.79
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.001,0.005,0,1000,0.0,60.86
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.002,0.01,0,1000,0.0,59.08
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.006,0.03,256,1000,25.6,100.97
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.01,0.05,777,1000,77.7,54.97
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.02,0.1,942,1000,94.2,54.95
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.0001,0.001,0,1000,0.0,150.75
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.0003,0.003,0,1000,0.0,102.77
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.0005,0.005,0,1000,0.0,150.65
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.001,0.01,1,1000,0.1,100.55
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.003,0.03,448,1000,44.8,142.67
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.005,0.05,938,1000,93.8,100.98
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.01,0.1,997,1000,99.7,143.99
PGD_Targeted_LeastLikely,LeastLikely,3,20,5e-05,0.001,0,1000,0.0,236.72
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.00015,0.003,0,1000,0.0,234.82
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.00025,0.005,0,1000,0.0,220.6
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.0005,0.01,2,1000,0.2,246.41
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.0015,0.03,544,1000,54.4,236.58
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.0025,0.05,968,1000,96.8,228.82
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.005,0.1,1000,1000,100.0,228.38
PGD_Targeted_LeastLikely,LeastLikely,3,40,2.5e-05,0.001,0,1000,0.0,402.68
PGD_Targeted_LeastLikely,LeastLikely,3,40,7.5e-05,0.003,0,1000,0.0,449.71
PGD_Targeted_LeastLikely,LeastLikely,3,40,0.000125,0.005,0,1000,0.0,455.33
