attack_name,num_random_init,max_iter,epsilon,nn1_accuracy,nn2_accuracy,nn2_correct,total_images,time_elapsed_s
PGD,3,20,0.01,4.1,73.5,735,1000,21.34
PGD,3,20,0.03,0.3,31.4,314,1000,24.85
PGD,3,20,0.05,0.1,16.1,161,1000,23.17
PGD,3,20,0.1,0.1,4.5,45,1000,21.3
PGD,3,40,0.001,78.8,86.6,866,1000,17.27
PGD,3,40,0.003,52.9,86.5,865,1000,17.33
PGD,3,40,0.005,24.6,82.7,827,1000,17.81
PGD,3,40,0.01,3.9,73.7,737,1000,17.59
PGD,3,40,0.03,0.3,33.6,336,1000,21.55
PGD,3,40,0.05,0.1,16.3,163,1000,22.18
PGD,3,40,0.1,0.0,5.1,51,1000,18.94
PGD,5,1,0.001,79.2,86.7,867,1000,21.94
PGD,5,1,0.003,56.9,86.6,866,1000,23.73
PGD,5,1,0.005,35.3,82.7,827,1000,23.41
PGD,5,1,0.01,11.0,73.2,732,1000,20.99
PGD,5,1,0.03,1.6,31.7,317,1000,19.23
PGD,5,1,0.05,1.2,10.1,101,1000,18.97
PGD,5,1,0.1,0.2,1.3,13,1000,17.55
PGD,5,5,0.001,79.1,86.7,867,1000,17.63
PGD,5,5,0.003,53.3,86.8,868,1000,18.67
PGD,5,5,0.005,26.0,82.6,826,1000,17.77
PGD,5,5,0.01,4.9,73.6,736,1000,18.4
PGD,5,5,0.03,0.2,31.0,310,1000,19.17
PGD,5,5,0.05,0.1,11.1,111,1000,19.12
PGD,5,5,0.1,0.0,1.6,16,1000,19.36
PGD,5,10,0.001,78.8,86.7,867,1000,18.71
PGD,5,10,0.003,53.2,86.6,866,1000,17.63
PGD,5,10,0.005,24.9,82.7,827,1000,19.27
PGD,5,10,0.01,4.1,73.8,738,1000,18.49
PGD,5,10,0.03,0.1,32.6,326,1000,18.45
PGD,5,10,0.05,0.1,13.8,138,1000,17.15
PGD,5,10,0.1,0.1,3.4,34,1000,17.4
PGD,5,20,0.001,78.8,86.5,865,1000,16.67
PGD,5,20,0.003,52.8,86.5,865,1000,15.71
PGD,5,20,0.005,24.7,82.7,827,1000,18.65
PGD,5,20,0.01,3.9,73.8,738,1000,19.35
PGD,5,20,0.03,0.2,32.3,323,1000,17.98
PGD,5,20,0.05,0.1,16.0,160,1000,18.42
PGD,5,20,0.1,0.1,4.0,40,1000,19.27
PGD,5,40,0.001,78.8,86.7,867,1000,17.46
PGD,5,40,0.003,52.8,86.7,867,1000,17.24
PGD,5,40,0.005,24.6,82.3,823,1000,17.43
PGD,5,40,0.01,3.7,73.6,736,1000,17.85
PGD,5,40,0.03,0.2,32.6,326,1000,18.15
PGD,5,40,0.05,0.1,16.6,166,1000,18.73
PGD,5,40,0.1,0.1,5.6,56,1000,18.42
