attack_name,target_mode,num_random_init,max_iter,epsilon,nn1_asr,nn2_asr,nn2_successful,total_images,time_elapsed_s
PGD_Targeted_LeastLikely,LeastLikely,1,40,0.005,0.0,0.0,0,1000,9.96
PGD_Targeted_LeastLikely,LeastLikely,1,40,0.01,0.1,0.0,0,1000,10.64
PGD_Targeted_LeastLikely,LeastLikely,1,40,0.03,59.3,0.0,0,1000,10.17
PGD_Targeted_LeastLikely,LeastLikely,1,40,0.05,98.1,0.0,0,1000,10.02
PGD_Targeted_LeastLikely,LeastLikely,1,40,0.1,100.0,0.1,1,1000,9.95
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.001,0.0,0.0,0,1000,9.93
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.003,0.0,0.0,0,1000,9.99
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.005,0.0,0.0,0,1000,10.03
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.01,0.0,0.0,0,1000,10.06
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.03,0.0,0.0,0,1000,10.16
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.05,0.0,0.0,0,1000,9.95
PGD_Targeted_LeastLikely,LeastLikely,3,1,0.1,0.3,0.0,0,1000,10.78
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.001,0.0,0.0,0,1000,10.15
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.003,0.0,0.0,0,1000,10.24
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.005,0.0,0.0,0,1000,10.01
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.01,0.0,0.0,0,1000,10.08
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.03,25.6,0.0,0,1000,10.24
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.05,77.7,0.0,0,1000,10.15
PGD_Targeted_LeastLikely,LeastLikely,3,5,0.1,94.2,0.9,9,1000,9.91
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.001,0.0,0.0,0,1000,10.34
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.003,0.0,0.0,0,1000,10.17
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.005,0.0,0.0,0,1000,10.31
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.01,0.1,0.0,0,1000,9.91
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.03,44.8,0.0,0,1000,10.12
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.05,93.8,0.0,0,1000,10.32
PGD_Targeted_LeastLikely,LeastLikely,3,10,0.1,99.7,0.2,2,1000,10.5
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.001,0.0,0.0,0,1000,10.03
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.003,0.0,0.0,0,1000,9.98
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.005,0.0,0.0,0,1000,10.08
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.01,0.2,0.0,0,1000,10.64
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.03,54.4,0.0,0,1000,10.4
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.05,96.8,0.0,0,1000,10.28
PGD_Targeted_LeastLikely,LeastLikely,3,20,0.1,100.0,0.3,3,1000,10.23
PGD_Targeted_LeastLikely,LeastLikely,3,40,0.001,0.0,0.0,0,1000,9.94
PGD_Targeted_LeastLikely,LeastLikely,3,40,0.003,0.0,0.0,0,1000,10.1
PGD_Targeted_LeastLikely,LeastLikely,3,40,0.005,0.0,0.0,0,1000,10.34
PGD_Targeted_LeastLikely,LeastLikely,3,40,0.01,0.2,0.0,0,1000,10.01
PGD_Targeted_LeastLikely,LeastLikely,3,40,0.03,60.3,0.0,0,1000,10.26
PGD_Targeted_LeastLikely,LeastLikely,3,40,0.05,98.1,0.0,0,1000,10.42
PGD_Targeted_LeastLikely,LeastLikely,3,40,0.1,100.0,0.0,0,1000,10.18
PGD_Targeted_LeastLikely,LeastLikely,5,1,0.001,0.0,0.0,0,1000,10.12
PGD_Targeted_LeastLikely,LeastLikely,5,1,0.003,0.0,0.0,0,1000,10.29
PGD_Targeted_LeastLikely,LeastLikely,5,1,0.005,0.0,0.0,0,1000,10.04
PGD_Targeted_LeastLikely,LeastLikely,5,1,0.01,0.0,0.0,0,1000,10.04
PGD_Targeted_LeastLikely,LeastLikely,5,1,0.03,0.0,0.0,0,1000,10.48
PGD_Targeted_LeastLikely,LeastLikely,5,1,0.05,0.0,0.0,0,1000,10.22
PGD_Targeted_LeastLikely,LeastLikely,5,1,0.1,0.3,0.0,0,1000,10.32
PGD_Targeted_LeastLikely,LeastLikely,5,5,0.001,0.0,0.0,0,1000,9.97
PGD_Targeted_LeastLikely,LeastLikely,5,5,0.003,0.0,0.0,0,1000,10.77
PGD_Targeted_LeastLikely,LeastLikely,5,5,0.005,0.0,0.0,0,1000,10.6
PGD_Targeted_LeastLikely,LeastLikely,5,5,0.01,0.1,0.0,0,1000,10.73
PGD_Targeted_LeastLikely,LeastLikely,5,5,0.03,24.6,0.0,0,1000,10.04
PGD_Targeted_LeastLikely,LeastLikely,5,5,0.05,76.4,0.0,0,1000,10.03
PGD_Targeted_LeastLikely,LeastLikely,5,5,0.1,93.9,0.7,7,1000,10.2
PGD_Targeted_LeastLikely,LeastLikely,5,10,0.001,0.0,0.0,0,1000,10.33
